Num,Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
52,Shuicheng,124350,116827,115534,130656,141087,145800,144500,300500,162700,218800,224500,215600,220600,235400,242900,250500,258291,264814,270768,242439,165874,216166,232500,226254,226000
53,Sinan,216317,224966,226007,249404,237440,249500,252700,259400,261000,250300,208900,208500,217400,242500,224000,210700,201071,256157,236522,250971,163661,200468,192514,220915,228406
54,Songtao,173464,177449,149395,201922,204840,215400,229100,245100,245800,258900,257700,235000,245400,255100,230600,250300,207007,262052,260710,269061,188727,226243,219753,237097,240107
55,Suiyang,163678,121412,164865,190278,232687,230600,249100,136900,143300,297400,231600,231800,250500,254200,272300,220200,274216,292232,290612,292202,207317,234457,220593,242790,254541
56,Taijiang,37812,33811,27093,24824,37871,40900,45600,47500,49700,50000,51500,40700,40700,44900,46100,47900,49891,50404,52217,52493,32276,40534,39656,41753,42401
57,Tianzhu,100347,70567,80339,91434,108052,109500,119200,123900,126100,127800,128600,123000,126100,130200,135000,135100,139017,142214,143967,144395,86934,108737,106380,114258,115493
58,Tongzi,170168,139018,184762,225617,562604,239400,255900,265800,280600,291400,219600,252700,272600,288600,291700,217300,294149,306022,304975,278398,196170,231606,200419,232984,242904
59,Wanshan,15363,12028,11983,15455,14992,15400,16500,16600,16800,17400,17600,16600,17300,17800,17700,18500,15401,19875,19859,19312,12973,53954,48540,52483,49594
60,Wangmo,63953,52298,53788,56756,60766,68000,72100,84100,85500,88000,91300,79600,80500,81200,85500,81400,81082,83794,84075,82500,65185,74079,72875,75644,75584
61,Weining,171676,174967,181794,188583,192300,200500,202100,306800,316300,334800,339600,339400,329000,341400,354700,337200,318424,359685,370893,372666,378012,396321,464200,478049,494065
62,Weng'an,127071,112997,128212,140510,132335,160500,163400,181500,171300,172400,168900,84000,182100,182900,183000,186600,192356,200813,208181,212081,142613,167800,159730,181740,184818
63,Wuchuan,103247,94663,98374,113110,114494,124800,144400,248400,259700,173400,146100,148300,174800,187100,170400,144300,179550,184002,183716,184013,128700,163758,155982,172784,174232
